iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
227	4	24	1	128	512	7	9	PASS	131370	139923	1474560	921600	0.94	107695000	14207
228	4	24	1	256	512	7	9	PASS	208926	270459	2850816	1843200	0.97	208187000	27234
229	4	24	1	512	512	7	9	PASS	364038	531531	5603328	3686400	0.99	409171000	53187
230	4	24	1	1024	512	7	9	PASS	678924	1062999	11206656	7372800	0.99	818317000	107589
231	4	24	1	1	1024	7	9	PASS	107661	18585	196608	14208	0.11	14284000	2887
232	4	24	1	2	1024	7	9	PASS	107757	18585	196608	28416	0.22	14284000	2655
233	4	24	1	4	1024	7	9	PASS	107949	18585	196608	56832	0.44	14284000	2725
234	4	24	1	8	1024	7	9	PASS	108333	18585	196608	113664	0.88	14284000	2901
235	4	24	1	16	1024	7	9	PASS	118362	37107	393216	227328	0.88	28543000	4716
236	4	24	1	32	1024	7	9	PASS	138420	74151	786432	454656	0.88	57061000	8377
237	4	24	1	64	1024	7	9	PASS	178536	148239	1572864	909312	0.88	114097000	15421
238	4	24	1	128	1024	7	9	PASS	249507	277893	2949120	1818624	0.94	213910000	28326
239	4	24	1	256	1024	7	9	PASS	391449	537201	5701632	3637248	0.98	413536000	57500
240	4	24	1	512	1024	7	9	PASS	675333	1055817	11206656	7274496	0.99	812788000	105751
241	4	24	1	1024	1024	7	9	PASS	1252362	2111571	22413312	14548992	0.99	1625551000	214680
242	4	44	1	1	1	7	9	PASS	415	189	352	352	0.052	202000	606
243	4	44	1	2	1	7	9	PASS	591	189	352	704	0.068	202000	17
244	4	44	1	4	1	7	9	PASS	943	189	352	1408	0.099	202000	20
245	4	44	1	8	1	7	9	PASS	1647	189	352	2816	0.16	202000	27
246	4	44	1	16	1	7	9	PASS	3118	315	704	5632	0.14	379000	48
247	4	44	1	32	1	7	9	PASS	6060	567	1408	11264	0.14	733000	91
248	4	44	1	64	1	7	9	PASS	11944	1071	2816	22528	0.13	1441000	179
249	4	44	1	128	1	7	9	PASS	23649	1953	5280	45056	0.14	2680000	363
250	4	44	1	256	1	7	9	PASS	47059	3717	10208	90112	0.14	5158000	722
251	4	44	1	512	1	7	9	PASS	93879	7245	20064	180224	0.14	10114000	1481
252	4	44	1	1024	1	7	9	PASS	187582	14427	40128	360448	0.14	20203000	3023
253	4	44	1	1	2	7	9	PASS	591	189	704	352	0.068	202000	296
254	4	44	1	2	2	7	9	PASS	767	189	704	704	0.099	202000	21
255	4	44	1	4	2	7	9	PASS	1119	189	704	1408	0.16	202000	24
256	4	44	1	8	2	7	9	PASS	1823	189	704	2816	0.28	202000	31
257	4	44	1	16	2	7	9	PASS	3294	315	1408	5632	0.27	379000	54
258	4	44	1	32	2	7	9	PASS	6236	567	2816	11264	0.26	733000	101
259	4	44	1	64	2	7	9	PASS	12120	1071	5632	22528	0.26	1441000	199
260	4	44	1	128	2	7	9	PASS	23825	1953	10560	45056	0.27	2680000	394
261	4	44	1	256	2	7	9	PASS	47235	3717	20416	90112	0.28	5158000	793
262	4	44	1	512	2	7	9	PASS	94055	7245	40128	180224	0.29	10114000	1649
263	4	44	1	1024	2	7	9	PASS	187758	14427	80256	360448	0.29	20203000	3285
264	4	44	1	1	4	7	9	PASS	943	189	1408	352	0.099	202000	864
265	4	44	1	2	4	7	9	PASS	1119	189	1408	704	0.16	202000	28
266	4	44	1	4	4	7	9	PASS	1471	189	1408	1408	0.28	202000	31
267	4	44	1	8	4	7	9	PASS	2175	189	1408	2816	0.53	202000	38
268	4	44	1	16	4	7	9	PASS	3646	315	2816	5632	0.52	379000	67
269	4	44	1	32	4	7	9	PASS	6588	567	5632	11264	0.51	733000	161
270	4	44	1	64	4	7	9	PASS	12472	1071	11264	22528	0.51	1441000	281
271	4	44	1	128	4	7	9	PASS	24177	1953	21120	45056	0.54	2680000	553
272	4	44	1	256	4	7	9	PASS	47587	3717	40832	90112	0.56	5158000	1116
273	4	44	1	512	4	7	9	PASS	94407	7245	80256	180224	0.57	10114000	1882
274	4	44	1	1024	4	7	9	PASS	188110	14427	160512	360448	0.57	20203000	3716
275	4	44	1	1	8	7	9	PASS	1710	315	2816	528	0.081	379000	53
276	4	44	1	2	8	7	9	PASS	1886	315	2816	1056	0.14	379000	48
277	4	44	1	4	8	7	9	PASS	2238	315	2816	2112	0.27	379000	52
278	4	44	1	8	8	7	9	PASS	2942	315	2816	4224	0.51	379000	60
279	4	44	1	16	8	7	9	PASS	4476	567	5632	8448	0.51	733000	105
280	4	44	1	32	8	7	9	PASS	7544	1071	11264	16896	0.51	1441000	192
281	4	44	1	64	8	7	9	PASS	13680	2079	22528	33792	0.51	2857000	395
282	4	44	1	128	8	7	9	PASS	25826	3843	42240	67584	0.54	5335000	832
283	4	44	1	256	8	7	9	PASS	50118	7371	81664	135168	0.56	10291000	1433
284	4	44	1	512	8	7	9	PASS	98702	14427	160512	270336	0.57	20203000	2811
285	4	44	1	1024	8	7	9	PASS	195996	28791	321024	540672	0.57	40381000	5688
286	4	44	1	1	16	7	9	PASS	3181	441	5632	704	0.096	556000	719
287	4	44	1	2	16	7	9	PASS	3357	441	5632	1408	0.18	556000	93
288	4	44	1	4	16	7	9	PASS	3709	441	5632	2816	0.35	556000	139
289	4	44	1	8	16	7	9	PASS	4413	441	5632	5632	0.68	556000	164
290	4	44	1	16	16	7	9	PASS	6010	819	11264	11264	0.68	1087000	192
291	4	44	1	32	16	7	9	PASS	9204	1575	22528	22528	0.68	2149000	521
292	4	44	1	64	16	7	9	PASS	15592	3087	45056	45056	0.68	4273000	995
293	4	44	1	128	16	7	9	PASS	28179	5733	84480	90112	0.72	7990000	1093
294	4	44	1	256	16	7	9	PASS	53353	11025	163328	180224	0.75	15424000	2132
295	4	44	1	512	16	7	9	PASS	103701	21609	321024	360448	0.76	30292000	4259
296	4	44	1	1024	16	7	9	PASS	204586	43155	642048	720896	0.76	60559000	8553
297	4	44	1	1	32	7	9	PASS	6123	693	11264	1056	0.11	910000	169
298	4	44	1	2	32	7	9	PASS	6299	693	11264	2112	0.21	910000	163
299	4	44	1	4	32	7	9	PASS	6651	693	11264	4224	0.41	910000	162
300	4	44	1	8	32	7	9	PASS	7355	693	11264	8448	0.81	910000	218
301	4	44	1	16	32	7	9	PASS	9078	1323	22528	16896	0.81	1795000	328
302	4	44	1	32	32	7	9	PASS	12524	2583	45056	33792	0.81	3565000	717
303	4	44	1	64	32	7	9	PASS	19416	5103	90112	67584	0.81	7105000	1241
304	4	44	1	128	32	7	9	PASS	32885	9513	168960	135168	0.87	13300000	1849
305	4	44	1	256	32	7	9	PASS	59823	18333	326656	270336	0.9	25690000	3632
306	4	44	1	512	32	7	9	PASS	113699	35973	642048	540672	0.91	50470000	7056
307	4	44	1	1024	32	7	9	PASS	221766	71883	1284096	1081344	0.91	100915000	14369
308	4	44	1	1	64	7	9	PASS	12070	1323	22528	1936	0.1	1795000	330
309	4	44	1	2	64	7	9	PASS	12246	1323	22528	3872	0.21	1795000	297
310	4	44	1	4	64	7	9	PASS	12598	1323	22528	7744	0.41	1795000	311
311	4	44	1	8	64	7	9	PASS	13302	1323	22528	15488	0.81	1795000	339
312	4	44	1	16	64	7	9	PASS	15340	2583	45056	30976	0.81	3565000	564
313	4	44	1	32	64	7	9	PASS	19416	5103	90112	61952	0.81	7105000	1006
314	4	44	1	64	64	7	9	PASS	27568	10143	180224	123904	0.81	14185000	1920
315	4	44	1	128	64	7	9	PASS	43242	18963	337920	247808	0.87	26575000	3629
316	4	44	1	256	64	7	9	PASS	74590	36603	653312	495616	0.9	51355000	6749
317	4	44	1	512	64	7	9	PASS	137286	71883	1284096	991232	0.91	100915000	13420
318	4	44	1	1024	64	7	9	PASS	263308	143703	2568192	1982464	0.91	201805000	26407
319	4	44	1	1	128	7	9	PASS	23901	2457	45056	3520	0.11	3388000	657
320	4	44	1	2	128	7	9	PASS	24077	2457	45056	7040	0.22	3388000	597
321	4	44	1	4	128	7	9	PASS	24429	2457	45056	14080	0.43	3388000	625
322	4	44	1	8	128	7	9	PASS	25133	2457	45056	28160	0.85	3388000	667
323	4	44	1	16	128	7	9	PASS	27738	4851	90112	56320	0.86	6751000	1082
324	4	44	1	32	128	7	9	PASS	32948	9639	180224	112640	0.86	13477000	1991
325	4	44	1	64	128	7	9	PASS	43368	19215	360448	225280	0.86	26929000	3663
326	4	44	1	128	128	7	9	PASS	63011	35973	675840	450560	0.91	50470000	6770
327	4	44	1	256	128	7	9	PASS	102297	69489	1306624	901120	0.94	97552000	12911
328	4	44	1	512	128	7	9	PASS	180869	136521	2568192	1802240	0.96	191716000	25338
